trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2849,False,"{'a': 0.001, 'e': 0.057902194127516855}",30,20,17.385646038131355,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2850,False,"{'a': 0.001, 'e': 0.057844320874838456}",35,25,20.29979583897906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2851,False,"{'a': 0.001, 'e': 0.057786505466485755}",20,11,15.976840823460066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2852,False,"{'a': 0.001, 'e': 0.05772874784464333}",25,13,14.04443722298694,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
2853,False,"{'a': 0.001, 'e': 0.057671047951553533}",20,11,15.641907141192174,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2854,False,"{'a': 0.001, 'e': 0.05761340572951652}",20,14,13.124080869331626,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2855,False,"{'a': 0.001, 'e': 0.05755582112089005}",30,15,32.56706211954183,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2856,False,"{'a': 0.001, 'e': 0.057498294068089484}",20,0,35.888970632063945,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2857,False,"{'a': 0.001, 'e': 0.05744082451358776}",20,10,16.99778394284655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2858,False,"{'a': 0.001, 'e': 0.05738341239991535}",30,13,33.474375936106355,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2859,False,"{'a': 0.001, 'e': 0.05732605766966013}",25,13,12.037307850179516,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2860,False,"{'a': 0.001, 'e': 0.05726876026546736}",30,21,16.917913145252037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2861,False,"{'a': 0.001, 'e': 0.0572115201300396}",20,8,22.382793167709146,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2862,False,"{'a': 0.001, 'e': 0.05715433720613676}",20,8,20.056329804504923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2863,False,"{'a': 0.001, 'e': 0.05709721143657589}",20,8,23.137026778880827,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2864,False,"{'a': 0.001, 'e': 0.057040142764231215}",20,6,24.019055652448607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2865,False,"{'a': 0.001, 'e': 0.056983131132034036}",20,5,29.088495875049485,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2866,False,"{'a': 0.001, 'e': 0.056926176482972754}",25,15,19.034981598018057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2867,False,"{'a': 0.001, 'e': 0.056869278760092706}",25,13,23.345380492264837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2868,False,"{'a': 0.001, 'e': 0.056812437906496156}",30,16,22.281723039135887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2869,False,"{'a': 0.001, 'e': 0.056755653865342225}",20,11,16.242813800800846,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2870,False,"{'a': 0.001, 'e': 0.0566989265798469}",25,7,4.338114916532506,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
2871,False,"{'a': 0.001, 'e': 0.056642255993282896}",25,0,36.587006905551156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2872,False,"{'a': 0.001, 'e': 0.056585642048979604}",25,15,13.087763641114144,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
2873,False,"{'a': 0.001, 'e': 0.05652908469032304}",20,12,2.330416945468894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2874,False,"{'a': 0.001, 'e': 0.05647258386075591}",20,14,13.539250089580369,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2875,False,"{'a': 0.001, 'e': 0.05641613950377735}",30,18,10.593999995387634,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2876,False,"{'a': 0.001, 'e': 0.05635975156294299}",35,20,16.21728842112048,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
2877,False,"{'a': 0.001, 'e': 0.05630341998186487}",25,13,20.126416964531128,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2878,False,"{'a': 0.001, 'e': 0.05624714470421144}",25,0,29.162214813430715,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2879,False,"{'a': 0.001, 'e': 0.056190925673707405}",25,16,15.549152468640504,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2880,False,"{'a': 0.001, 'e': 0.056134762834133725}",30,13,22.968319076539757,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2881,False,"{'a': 0.001, 'e': 0.05607865612932754}",25,6,17.916776509218217,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
2882,False,"{'a': 0.001, 'e': 0.05602260550318217}",20,12,16.106697392074075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2883,False,"{'a': 0.001, 'e': 0.05596661089964698}",20,12,1.4603851268061823,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2884,False,"{'a': 0.001, 'e': 0.055910672262727355}",20,3,-11.41430347137031,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
2885,False,"{'a': 0.001, 'e': 0.05585478953648462}",30,16,14.610531169550638,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2886,False,"{'a': 0.001, 'e': 0.05579896266503611}",25,15,23.146545824514963,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2887,False,"{'a': 0.001, 'e': 0.055743191592554905}",30,17,24.776566546990587,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
